size,type,algorithm,time_us,comparisons
2900,reverse,mergesort,2196,24802
2900,reverse,string_quicksort,901,27552
2900,reverse,string_mergesort,2305,3496
2900,reverse,msd_radix,2011,0
2900,reverse,msd_radix_switch,1050,9690
3000,reverse,quicksort,6834,567340
3000,reverse,mergesort,2160,25782
3000,reverse,string_quicksort,918,28813
3000,reverse,string_mergesort,2421,3616
3000,reverse,msd_radix,2171,0
3000,reverse,msd_radix_switch,1060,9688
100,nearly,quicksort,184,14619
100,nearly,mergesort,48,749
100,nearly,string_quicksort,18,535
100,nearly,string_mergesort,52,116
100,nearly,msd_radix,58,0
100,nearly,msd_radix_switch,26,329
200,nearly,quicksort,407,29638
200,nearly,mergesort,113,1686
200,nearly,string_quicksort,47,1194
200,nearly,string_mergesort,118,235
200,nearly,msd_radix,127,0
200,nearly,msd_radix_switch,53,691
300,nearly,quicksort,606,46129
300,nearly,mergesort,184,2601
300,nearly,string_quicksort,67,1990
300,nearly,string_mergesort,187,346
300,nearly,msd_radix,203,0
300,nearly,msd_radix_switch,85,1062
400,nearly,quicksort,768,61276
400,nearly,mergesort,232,3736
400,nearly,string_quicksort,84,2740
400,nearly,string_mergesort,239,470
400,nearly,msd_radix,236,0
400,nearly,msd_radix_switch,108,1442
500,nearly,quicksort,1014,80403
500,nearly,mergesort,319,4813
500,nearly,string_quicksort,112,3637
500,nearly,string_mergesort,312,594
500,nearly,msd_radix,308,0
500,nearly,msd_radix_switch,136,1832
600,nearly,quicksort,1161,91747
600,nearly,mergesort,376,5933
600,nearly,string_quicksort,143,4672
600,nearly,string_mergesort,401,709
600,nearly,msd_radix,375,0
600,nearly,msd_radix_switch,166,2187
700,nearly,quicksort,1386,109409
700,nearly,mergesort,468,7245
700,nearly,string_quicksort,164,5359
700,nearly,string_mergesort,481,822
700,nearly,msd_radix,441,0
700,nearly,msd_radix_switch,197,2561
800,nearly,quicksort,1586,123591
800,nearly,mergesort,554,8460
800,nearly,string_quicksort,216,6349
800,nearly,string_mergesort,593,937
800,nearly,msd_radix,511,0
800,nearly,msd_radix_switch,231,2936
900,nearly,quicksort,1738,137154
900,nearly,mergesort,675,9732
900,nearly,string_quicksort,228,7278
900,nearly,string_mergesort,637,1055
900,nearly,msd_radix,568,0
900,nearly,msd_radix_switch,275,3285
1000,nearly,quicksort,2102,164466
1000,nearly,mergesort,723,10854
1000,nearly,string_quicksort,264,8488
1000,nearly,string_mergesort,716,1166
1000,nearly,msd_radix,618,0
1000,nearly,msd_radix_switch,323,3661
1100,nearly,quicksort,2252,168700
1100,nearly,mergesort,804,12203
1100,nearly,string_quicksort,287,9283
1100,nearly,string_mergesort,791,1282
1100,nearly,msd_radix,676,0
1100,nearly,msd_radix_switch,324,4035
1200,nearly,quicksort,2505,188060
1200,nearly,mergesort,870,13449
1200,nearly,string_quicksort,329,10574
1200,nearly,string_mergesort,878,1405
1200,nearly,msd_radix,752,0
1200,nearly,msd_radix_switch,355,4444
1300,nearly,quicksort,2748,206592
1300,nearly,mergesort,974,15052
1300,nearly,string_quicksort,364,11545
1300,nearly,string_mergesort,972,1523
1300,nearly,msd_radix,814,0
1300,nearly,msd_radix_switch,401,4828
1400,nearly,quicksort,2974,227138
1400,nearly,mergesort,1069,16131
1400,nearly,string_quicksort,375,12229
1400,nearly,string_mergesort,1050,1643
1400,nearly,msd_radix,894,0
1400,nearly,msd_radix_switch,445,5198
1500,nearly,quicksort,3155,242574
1500,nearly,mergesort,1149,17622
1500,nearly,string_quicksort,434,13585
1500,nearly,string_mergesort,1155,1761
1500,nearly,msd_radix,983,0
1500,nearly,msd_radix_switch,476,5586
1600,nearly,quicksort,3248,251595
1600,nearly,mergesort,1249,19050
1600,nearly,string_quicksort,453,14613
1600,nearly,string_mergesort,1254,1882
1600,nearly,msd_radix,1040,0
1600,nearly,msd_radix_switch,508,5953
1700,nearly,quicksort,3524,275282
1700,nearly,mergesort,1353,20176
1700,nearly,string_quicksort,472,15511
1700,nearly,string_mergesort,1322,2009
1700,nearly,msd_radix,1126,0
1700,nearly,msd_radix_switch,513,6352
1800,nearly,quicksort,3751,291321
1800,nearly,mergesort,1500,21549
1800,nearly,string_quicksort,523,16875
1800,nearly,string_mergesort,1467,2135
1800,nearly,msd_radix,1205,0
1800,nearly,msd_radix_switch,613,6732
1900,nearly,quicksort,4122,307559
1900,nearly,mergesort,1525,22470
1900,nearly,string_quicksort,536,17598
1900,nearly,string_mergesort,1587,2258
1900,nearly,msd_radix,1234,0
1900,nearly,msd_radix_switch,580,7147
2000,nearly,quicksort,4288,317726
2000,nearly,mergesort,1631,23973
2000,nearly,string_quicksort,577,18457
2000,nearly,string_mergesort,1671,2385
2000,nearly,msd_radix,1386,0
2000,nearly,msd_radix_switch,628,7549
2100,nearly,quicksort,4455,328920
2100,nearly,mergesort,1778,24934
2100,nearly,string_quicksort,609,19346
2100,nearly,string_mergesort,1780,2506
2100,nearly,msd_radix,1498,0
2100,nearly,msd_radix_switch,689,7957
2200,nearly,quicksort,4734,345152
2200,nearly,mergesort,1864,26758
2200,nearly,string_quicksort,679,20577
2200,nearly,string_mergesort,1878,2630
2200,nearly,msd_radix,1567,0
2200,nearly,msd_radix_switch,714,8349
2300,nearly,quicksort,5155,365528
2300,nearly,mergesort,2008,28449
2300,nearly,string_quicksort,689,21527
2300,nearly,string_mergesort,1968,2755
2300,nearly,msd_radix,1623,0
2300,nearly,msd_radix_switch,768,8732
2400,nearly,quicksort,5382,385750
2400,nearly,mergesort,2094,29425
2400,nearly,string_quicksort,716,22443
2400,nearly,string_mergesort,2089,2875
2400,nearly,msd_radix,1713,0
2400,nearly,msd_radix_switch,798,8907
2500,nearly,quicksort,5600,403471
2500,nearly,mergesort,2170,31193
2500,nearly,string_quicksort,752,23385
2500,nearly,string_mergesort,2154,2992
2500,nearly,msd_radix,1790,0
2500,nearly,msd_radix_switch,839,9453
2600,nearly,quicksort,5562,416955
2600,nearly,mergesort,2275,32451
2600,nearly,string_quicksort,768,24586
2600,nearly,string_mergesort,2292,3115
2600,nearly,msd_radix,1884,0
2600,nearly,msd_radix_switch,858,10152
2700,nearly,quicksort,5870,421653
2700,nearly,mergesort,2391,34270
2700,nearly,string_quicksort,801,25279
2700,nearly,string_mergesort,2369,3245
2700,nearly,msd_radix,1996,0
2700,nearly,msd_radix_switch,943,10039
2800,nearly,quicksort,6044,435659
2800,nearly,mergesort,2454,34911
2800,nearly,string_quicksort,851,26555
2800,nearly,string_mergesort,2446,3358
2800,nearly,msd_radix,2036,0
2800,nearly,msd_radix_switch,1005,10077
2900,nearly,quicksort,6763,518461
2900,nearly,mergesort,2508,36262
2900,nearly,string_quicksort,910,28177
2900,nearly,string_mergesort,2506,3486
2900,nearly,msd_radix,2119,0
2900,nearly,msd_radix_switch,1044,9948
3000,nearly,quicksort,7185,554604
3000,nearly,mergesort,2584,37483
3000,nearly,string_quicksort,942,29556
3000,nearly,string_mergesort,2601,3607
3000,nearly,msd_radix,2223,0
3000,nearly,msd_radix_switch,1096,10037
100,prefix,quicksort,246,19755
100,prefix,mergesort,104,4401
100,prefix,string_quicksort,33,1258
100,prefix,string_mergesort,88,738
100,prefix,msd_radix,184,0
100,prefix,msd_radix_switch,117,64
200,prefix,quicksort,579,47327
200,prefix,mergesort,237,10437
200,prefix,string_quicksort,76,2763
200,prefix,string_mergesort,185,1529
200,prefix,msd_radix,357,0
200,prefix,msd_radix_switch,264,247
300,prefix,quicksort,902,71289
300,prefix,mergesort,374,17112
300,prefix,string_quicksort,112,4394
300,prefix,string_mergesort,298,2329
300,prefix,msd_radix,509,0
300,prefix,msd_radix_switch,403,470
